INFO:root:{'id': 'MLA896718634', 'title': 'Servidor Poweredge Dell T40 Xeon E3-2224 16gb 2tb Hd Gtia', 'category_id': 'MLA1649', 'name': 'PC'}
INFO:root:{'id': 'MLA790641629', 'title': 'Monitor Dell 24 Profesional P2419h - Modelo Nuevo! Ex-p2417h', 'category_id': 'MLA14407', 'name': 'Monitores'}
INFO:root:{'id': 'MLA678685394', 'title': 'Notebook Dell I3 8gb 1tb + 240ssd 14 Win10 Ram Oferta', 'category_id': 'MLA1652', 'name': 'Notebooks'}
INFO:root:{'id': 'MLA839633052', 'title': 'Ups Apc Easy Bv500i-ar 500va Bv500 Gtia Oficial 2 Años', 'category_id': 'MLA1720', 'name': 'UPS'}
INFO:root:{'id': 'MLA685428555', 'title': 'Switch Cisco 16 Puertos Port 10/100/1000 Rack (ex Sg100-16) Para Hogar Y Empresa - Garantia Oficial - Factura A Y B', 'category_id': 'MLA1708', 'name': 'Switches'}
INFO:root:{'id': 'MLA833393643', 'title': 'Notebook Laptop Dell Inspiron I5 10g 8g 256gb Ubuntu Oferta', 'category_id': 'MLA1652', 'name': 'Notebooks'}
INFO:root:{'id': 'MLA604317175', 'title': 'Ups Apc 800va 6 Tomas Estabilizador Y Protector De Tension Gtia Oficial De 2 Años Para Gamer Bx800 Para Tv, Play', 'category_id': 'MLA1720', 'name': 'UPS'}
INFO:root:{'id': 'MLA794967384', 'title': 'Ups Apc 800va 6t Estabilizador Y Protector Apc', 'category_id': 'MLA1720', 'name': 'UPS'}
INFO:root:{'id': 'MLA870135010', 'title': 'Notebook Laptot Dell I3 16gb 1tb Win10 Oferta ', 'category_id': 'MLA1652', 'name': 'Notebooks'}
INFO:root:{'id': 'MLA795525764', 'title': 'Ups Apc Easy Bv650i-ar 650va Gtia Oficial 2 Años Bv650', 'category_id': 'MLA1720', 'name': 'UPS'}
INFO:root:{'id': 'MLA806656370', 'title': 'Router Wifi Linksys Ea6100 Dualband Usb 3.0 Control Parental', 'category_id': 'MLA430901', 'name': 'Routers'}
INFO:root:{'id': 'MLA837789459', 'title': 'Notebook Laptot Dell I3 16gb 1tb Win10 Oferta ', 'category_id': 'MLA1652', 'name': 'Notebooks'}
INFO:root:{'id': 'MLA640303035', 'title': 'Ups Apc Br1500g 1500va Estabilizador  Gtia 2 Años Br1500g-ar', 'category_id': 'MLA1720', 'name': 'UPS'}
INFO:root:{'id': 'MLA835614791', 'title': 'Sf250-48-k9-ar Switch 48p Cisco Sf250-48 10/100 Rack', 'category_id': 'MLA1708', 'name': 'Switches'}
INFO:root:{'id': 'MLA701426348', 'title': 'Notebook Laptop I3 Dell Inspiron 8gb 1tb 14  Win 10 Teclado Con Ñ Gtia De Tienda Oficial - Factura A Y B Gamer', 'category_id': 'MLA1652', 'name': 'Notebooks'}
INFO:root:{'id': 'MLA614716924', 'title': 'Ups Apc Br550g-ar Back-ups Pro 550va 230 Estabilizador Br550', 'category_id': 'MLA1720', 'name': 'UPS'}
INFO:root:{'id': 'MLA696010903', 'title': 'Ups Apc Src2ki-ar 2000va Online Tower Src2ki', 'category_id': 'MLA1720', 'name': 'UPS'}
